id_contrat,numero_contrat,id_entreprise,id_agence,id_conseiller,id_produit,date_octroi,date_echeance,montant_principal,taux_interet,encours_restant,statut
135,CON_000135,218,1,11,2,2024-06-12,2025-04-12,1431642.22,6.83,582425.1,SAIN
136,CON_000136,220,1,11,4,2019-10-14,2026-03-11,31627000.35,5.06,6990091.3,SAIN
137,CON_000137,221,1,10,12,2024-11-05,2025-10-05,10624634.58,2.84,9670134.21,SAIN
138,CON_000138,221,1,10,1,2024-06-18,2025-02-16,2207301.17,5.6,559556.65,SAIN
139,CON_000139,222,1,11,11,2023-01-01,2025-05-31,4611185.62,1.28,965770.22,SURVEILLANCE
140,CON_000140,223,1,10,6,2020-12-17,2028-05-14,11124645.42,4.6,5596387.36,SAIN
141,CON_000141,224,1,11,1,2024-10-17,2025-03-18,315657.94,7.14,190517.2,SAIN
142,CON_000142,225,1,10,14,2023-09-12,2026-01-10,1374495.02,1.42,643820.78,SAIN
143,CON_000143,226,1,11,13,2023-08-05,2024-05-04,293237.16,1.01,0.0,SAIN
144,CON_000144,226,1,11,2,2024-12-15,2025-01-14,36357.39,6.28,36357.39,SAIN
145,CON_000145,228,1,11,6,2023-12-08,2027-02-05,7258595.25,4.59,5079112.96,SAIN
146,CON_000146,229,1,10,10,2024-08-10,2025-06-10,8843026.71,4.74,5347593.13,SAIN
147,CON_000147,229,1,10,9,2024-12-17,2025-02-15,1448696.01,5.5,1448696.01,SAIN
148,CON_000148,231,1,10,11,2024-08-12,2025-03-12,93161.07,1.65,40035.93,SAIN
149,CON_000149,232,1,11,2,2024-09-24,2025-06-24,116652.76,7.1,78454.59,SAIN
150,CON_000150,232,1,11,10,2024-11-16,2025-05-17,6035139.38,4.43,5853640.5,NPL
151,CON_000151,233,1,10,13,2024-06-16,2025-02-14,94492.63,1.81,52270.62,NPL
152,CON_000152,234,1,11,4,2021-05-10,2026-04-07,14334043.3,5.14,4250897.84,SAIN
153,CON_000153,236,1,11,13,2024-09-05,2025-01-04,257316.46,1.56,64454.53,SAIN
154,CON_000154,237,1,10,3,2024-05-10,2024-11-08,540695.16,5.15,0.0,SAIN
155,CON_000155,238,1,11,13,2024-09-19,2025-01-18,472206.29,1.97,118342.2,SAIN
156,CON_000156,239,1,10,2,2024-06-06,2025-03-06,472633.34,6.9,160261.93,SAIN
157,CON_000157,241,1,10,1,2024-12-13,2025-03-14,81601.41,6.06,81601.41,SAIN
158,CON_000158,245,1,10,7,2022-07-06,2030-12-31,8675999.24,3.47,6463394.68,SAIN
159,CON_000159,246,1,11,7,2019-01-16,2026-08-13,2216058.52,3.21,534243.38,SAIN
160,CON_000160,248,1,11,11,2022-09-11,2025-09-09,3822357.63,1.12,967657.78,SAIN
161,CON_000161,250,1,11,1,2024-10-27,2025-01-26,124202.96,7.24,41650.27,SAIN
162,CON_000162,251,1,10,4,2022-01-20,2027-12-18,3932789.86,4.95,2137389.71,SAIN
163,CON_000163,251,1,10,7,2022-02-23,2031-10-20,23692836.67,3.47,18127697.01,NPL
164,CON_000164,252,1,11,2,2024-10-20,2025-07-20,1144364.6,8.08,896000.64,SAIN
165,CON_000165,254,1,11,13,2024-10-10,2025-01-09,280702.18,1.29,93667.93,SAIN
166,CON_000166,255,1,10,1,2024-11-21,2025-03-22,3790311.57,5.78,2849552.52,SAIN
167,CON_000167,257,1,10,2,2024-11-15,2025-02-14,131610.78,8.18,88038.22,SAIN
168,CON_000168,260,1,11,8,2024-11-07,2025-03-08,1206922.56,5.66,907318.29,SAIN
169,CON_000169,262,1,11,6,2020-09-09,2028-09-05,4191726.59,4.19,2139716.7,SAIN
170,CON_000170,263,1,10,9,2024-11-20,2025-04-21,3948241.32,5.61,3165941.83,SAIN
171,CON_000171,264,1,11,12,2024-12-27,2025-10-27,14482080.64,2.45,14482080.64,SAIN
172,CON_000172,265,1,10,9,2023-11-13,2024-05-13,3143835.73,5.69,0.02,SURVEILLANCE
173,CON_000173,266,1,11,13,2024-07-02,2025-01-30,228664.58,1.74,65569.56,SAIN
174,CON_000174,266,1,11,1,2024-12-18,2025-01-17,50280.9,6.8,50280.9,SAIN
175,CON_000175,267,1,10,14,2022-10-08,2026-01-05,11839293.29,1.62,4015842.89,SAIN
176,CON_000176,268,1,11,11,2024-04-21,2026-10-20,13889.43,1.73,10244.07,SAIN
177,CON_000177,272,1,11,7,2018-02-14,2026-09-11,4578904.94,3.13,1035808.57,SAIN
178,CON_000178,272,1,11,6,2017-02-26,2026-08-23,1196968.57,3.9,243244.08,SAIN
179,CON_000179,273,1,10,5,2023-06-23,2026-08-21,3576073.39,4.45,1944741.22,SAIN
180,CON_000180,274,1,11,2,2024-06-01,2025-01-30,1556786.75,6.53,395555.84,SAIN
181,CON_000181,277,1,10,3,2024-09-15,2025-03-16,733373.88,7.39,370063.73,SURVEILLANCE
182,CON_000182,278,1,11,3,2024-12-07,2025-09-06,709747.07,6.27,709747.07,SAIN
183,CON_000183,281,1,10,2,2024-06-09,2025-04-09,110991.2,8.03,45286.67,SAIN
184,CON_000184,283,1,10,1,2024-08-18,2025-04-18,816385.89,7.84,413509.01,SAIN
185,CON_000185,284,1,11,11,2024-08-26,2025-05-26,1193239.13,1.58,664654.75,SAIN
186,CON_000186,286,1,11,3,2024-09-10,2025-06-10,248194.62,6.73,166847.19,SAIN
187,CON_000187,287,1,10,11,2024-08-13,2025-12-12,2512868.78,2.04,1891039.39,SAIN
188,CON_000188,287,1,10,11,2024-08-20,2025-06-20,3627537.47,2.25,2184671.64,SAIN
189,CON_000189,288,1,11,1,2024-11-03,2025-01-02,139858.47,5.71,70095.21,SAIN
190,CON_000190,289,1,10,14,2024-12-22,2028-09-20,9420651.6,2.14,9420651.6,SAIN
191,CON_000191,292,1,11,12,2024-07-23,2025-02-20,4875338.83,2.65,1400644.18,SAIN
192,CON_000192,292,1,11,9,2024-10-04,2025-01-03,573197.09,4.37,191760.65,SAIN
193,CON_000193,294,1,11,12,2024-12-05,2025-07-05,12848370.42,2.95,12848370.42,SAIN
194,CON_000194,297,1,10,4,2024-08-04,2025-10-03,6218844.44,5.55,4482833.76,SAIN
195,CON_000195,302,1,11,14,2024-06-21,2025-07-21,13821044.28,1.29,7466084.27,SAIN
196,CON_000196,304,1,11,2,2024-11-11,2025-03-12,57673.71,7.78,43394.75,SAIN
197,CON_000197,305,1,10,12,2024-11-19,2025-06-19,12085396.87,1.76,10366493.29,SAIN
198,CON_000198,305,1,10,11,2023-08-25,2025-05-24,8458139.53,1.28,2031051.83,SAIN
199,CON_000199,306,1,11,4,2023-04-04,2032-09-28,46097560.15,6.03,39791185.57,SURVEILLANCE
200,CON_000200,307,1,10,1,2024-06-11,2025-04-11,722155.81,6.9,293840.09,SAIN
201,CON_000201,313,1,10,9,2024-12-09,2025-01-08,223072.92,4.43,223072.92,SAIN
202,CON_000202,315,1,10,4,2021-01-18,2029-09-14,48334625.08,4.54,28819742.87,SAIN
203,CON_000203,316,1,11,13,2024-09-26,2025-07-27,572096.17,1.72,401326.88,SAIN
204,CON_000204,317,1,10,11,2024-10-15,2026-07-15,7638772.35,2.44,6925227.89,SAIN
205,CON_000205,318,1,11,5,2023-05-12,2027-06-09,14451312.36,4.33,9148305.81,SAIN
206,CON_000206,319,1,10,2,2024-10-26,2025-01-25,542437.77,7.83,181989.83,SAIN
207,CON_000207,320,1,11,1,2024-03-21,2025-03-20,950346.33,6.95,243796.02,SURVEILLANCE
208,CON_000208,320,1,11,2,2024-12-03,2025-03-04,305400.6,7.18,305400.6,SAIN
209,CON_000209,321,1,10,8,2024-10-01,2024-12-31,3997365.1,5.3,1338331.38,SAIN
210,CON_000210,323,1,10,9,2024-08-14,2025-01-13,12461106.0,5.77,2516187.8,SAIN
211,CON_000211,324,1,11,3,2024-10-02,2025-06-02,365416.07,5.05,275209.72,SURVEILLANCE
212,CON_000212,328,1,11,5,2022-10-11,2028-06-08,810080.39,4.02,521881.51,SAIN
213,CON_000213,328,1,11,12,2024-06-27,2025-03-27,676220.58,1.79,226415.55,SAIN
214,CON_000214,334,1,11,1,2024-04-26,2025-02-24,141932.11,6.49,29002.1,SAIN
215,CON_000215,334,1,11,13,2024-11-09,2025-07-10,509729.41,1.1,446217.37,SURVEILLANCE
216,CON_000216,335,1,10,3,2024-03-18,2025-03-17,491092.38,6.37,125713.39,SURVEILLANCE
217,CON_000217,337,1,10,11,2024-04-27,2025-03-27,520567.09,1.44,142654.56,SAIN
218,CON_000218,340,1,11,2,2024-03-06,2025-03-05,1443298.47,6.82,370078.04,SAIN
219,CON_000219,341,1,10,10,2024-12-10,2025-01-09,693530.19,4.39,693530.19,SAIN
220,CON_000220,342,1,11,1,2024-03-28,2025-03-27,4261624.81,7.99,1097430.62,SAIN
221,CON_000221,343,1,10,1,2024-08-15,2025-02-13,3892652.8,6.3,1311163.06,SAIN
222,CON_000222,344,1,11,1,2024-05-01,2024-08-30,215707.59,6.83,0.0,SAIN
223,CON_000223,346,1,11,10,2024-12-28,2025-01-27,761953.85,4.24,761953.85,SAIN
224,CON_000224,346,1,11,4,2024-02-25,2026-12-24,9176367.86,5.24,6617064.87,SAIN
225,CON_000225,347,1,10,1,2024-09-20,2025-03-21,209021.31,6.52,105360.09,SURVEILLANCE
226,CON_000226,347,1,10,11,2022-11-15,2025-11-13,231264.68,2.14,72244.47,SAIN
227,CON_000227,349,1,10,1,2024-08-02,2025-05-02,2871436.09,6.39,1612170.73,SAIN
228,CON_000228,349,1,10,12,2024-11-13,2025-02-12,523497.36,1.8,489278.03,NPL
229,CON_000229,350,1,11,1,2024-10-01,2024-12-31,152928.78,7.72,51303.5,SAIN
230,CON_000230,355,2,14,9,2024-10-26,2025-01-25,2966228.07,6.34,993957.34,SAIN
231,CON_000231,361,2,14,13,2024-11-08,2025-09-08,516980.78,0.93,465462.74,SAIN
232,CON_000232,362,2,15,13,2024-12-20,2025-01-19,96587.63,1.4,96587.63,SAIN
233,CON_000233,364,2,15,12,2024-12-13,2025-11-12,3827133.97,1.92,3827133.97,SAIN
234,CON_000234,365,2,14,12,2024-10-04,2025-04-04,11310369.39,2.65,7556867.0,SURVEILLANCE
235,CON_000235,366,2,15,13,2024-09-24,2025-01-23,503737.14,1.95,126241.16,SAIN
236,CON_000236,370,2,15,9,2024-06-18,2025-03-18,11369285.58,5.34,3840353.52,SAIN
237,CON_000237,370,2,15,10,2023-08-07,2024-01-06,11720915.94,4.61,0.0,SAIN
238,CON_000238,373,2,14,9,2024-09-22,2025-05-23,14363793.13,6.32,9047979.53,SAIN
239,CON_000239,374,2,15,5,2024-07-01,2028-06-29,8799636.39,4.3,7951887.89,SAIN
240,CON_000240,375,2,14,7,2024-08-25,2028-12-22,14332061.95,4.38,13323401.65,SAIN
241,CON_000241,377,2,14,9,2024-09-05,2025-01-04,1679022.48,4.96,422356.3,SAIN
242,CON_000242,378,2,15,2,2024-12-02,2025-04-02,112071.52,6.73,112071.52,SAIN
243,CON_000243,380,2,15,7,2022-06-07,2025-11-04,36573256.36,3.07,10191379.13,SAIN
244,CON_000244,381,2,14,3,2024-11-19,2025-11-18,310389.99,5.98,285225.46,SAIN
245,CON_000245,381,2,14,13,2024-12-14,2025-02-12,182339.57,1.61,182339.57,SAIN
246,CON_000246,382,2,15,1,2024-10-21,2025-01-20,117833.18,7.95,39537.37,SAIN
247,CON_000247,383,2,14,12,2024-08-11,2025-02-09,10210976.19,1.89,3414377.43,SURVEILLANCE
248,CON_000248,384,2,15,1,2024-07-07,2025-03-07,1092038.39,7.01,415488.95,SAIN
249,CON_000249,387,2,14,1,2024-08-08,2025-01-07,400337.2,5.57,80810.73,SAIN
250,CON_000250,392,2,15,1,2024-10-22,2025-01-21,4737382.66,5.66,1586564.05,SAIN
251,CON_000251,392,2,15,9,2024-12-11,2025-01-10,849635.95,5.26,849635.95,SAIN
252,CON_000252,393,2,14,13,2024-09-04,2025-01-03,131132.76,1.35,32838.51,SAIN
253,CON_000253,394,2,15,12,2024-09-24,2025-01-23,5388737.97,2.38,1351191.04,SAIN
254,CON_000254,395,2,14,4,2022-08-14,2024-10-12,221978.55,4.55,0.0,SAIN
255,CON_000255,398,2,15,5,2024-05-20,2029-10-17,7003185.33,4.27,6324308.06,SAIN
256,CON_000256,402,2,15,4,2024-01-24,2025-08-23,20071444.62,5.89,8679238.89,SAIN
257,CON_000257,404,2,15,10,2024-12-05,2025-01-04,3111822.62,5.41,3111822.62,SAIN
258,CON_000258,404,2,15,9,2024-11-27,2025-06-27,295800.09,6.08,254180.91,SAIN
259,CON_000259,405,2,14,14,2024-01-16,2026-04-15,3578836.51,1.54,2135735.29,SAIN
260,CON_000260,406,2,15,14,2022-03-14,2026-05-12,9109637.08,1.57,3164322.83,SAIN
261,CON_000261,409,2,14,10,2024-08-05,2025-01-04,1750500.39,5.59,353361.79,SAIN
262,CON_000262,409,2,14,2,2023-07-07,2024-07-05,1294924.34,6.3,0.01,SURVEILLANCE
263,CON_000263,411,2,14,14,2023-03-13,2025-10-10,8164093.75,1.24,2662191.76,SAIN
264,CON_000264,412,2,15,14,2023-03-06,2025-08-03,12737749.48,1.7,3566252.31,SAIN
265,CON_000265,412,2,15,12,2023-12-26,2024-06-25,11949208.39,2.53,0.01,SURVEILLANCE
266,CON_000266,415,2,14,7,2023-02-13,2026-02-11,37272999.06,3.0,14894433.15,SAIN
267,CON_000267,416,2,15,11,2024-11-08,2027-05-09,652375.6,1.08,630912.21,SAIN
268,CON_000268,417,2,14,9,2024-08-11,2025-03-11,3924933.78,6.3,1699745.37,SURVEILLANCE
269,CON_000269,419,2,14,14,2024-03-05,2025-03-04,9952425.12,1.03,2497720.74,SAIN
270,CON_000270,421,2,14,2,2024-11-16,2025-11-15,294006.43,6.2,270194.34,SAIN
271,CON_000271,428,2,15,13,2024-11-25,2025-06-25,27232.5,1.99,23361.45,SAIN
272,CON_000272,429,2,14,11,2024-06-25,2025-11-23,6692801.08,1.42,4345985.38,SAIN
273,CON_000273,430,2,15,3,2024-11-25,2025-03-26,265669.74,5.6,199715.42,SAIN
274,CON_000274,433,2,14,14,2023-02-01,2027-03-01,12178100.65,1.14,6780413.71,SAIN
275,CON_000275,434,2,15,9,2024-08-17,2025-01-16,4937820.63,5.04,995859.6,SURVEILLANCE
