id_entreprise,ice,raison_sociale,forme_juridique,secteur_activite,segment,chiffre_affaires,nombre_employes,date_creation,ville,adresse,telephone,email,statut,id_agence,id_conseiller
16,834717549000086,Union Holding SA,SA,Services,PME,91262484.35,106,2012-02-23,Casablanca,"Zone Industrielle, N° 164, Route de Texier, Casablanca, Maroc",0522910004,contact@unionholding.ma,Actif,1,11
17,551034639000072,Société Taza de Export Agri SARL AU,SARL,Agriculture,PME,80641585.58,154,2021-11-11,Casablanca,"Zone Industrielle, N° 444, Route de Bertrand, Casablanca, Maroc",0522113266,contact@societetazadeexportagri.ma,Actif,1,10
18,736164778000044,Compagnie du Aménagement SNC,SARL,BTP,TPE,4807859.08,8,2020-08-14,Casablanca,"Zone Industrielle, N° 384, Route de RegnierBourg, Casablanca, Maroc",0522965845,contact@compagnieduamenagement.ma,Actif,1,11
19,448981305000033,Société Marocaine de Nettoyage SNC,SARL,Services,TPE,1302926.33,2,2017-06-01,Casablanca,"Zone Industrielle, N° 445, Route de Chevalier-la-Forêt, Casablanca, Maroc",0522618317,contact@societemarocainedenettoyage.ma,Actif,1,10
20,696115913000040,Société Atlas de Nettoyage SARL AU,SNC,Services,TPE,1838642.33,5,2007-04-24,Casablanca,"Zone Industrielle, N° 260, Route de Étienne-sur-Verdier, Casablanca, Maroc",0522526170,contact@societeatlasdenettoyage.ma,Actif,1,11
21,608159580000080,Euro Logistique SARL,SARL,Services,PME,66360775.48,135,2012-05-22,Casablanca,"Zone Industrielle, N° 198, Route de Fischer, Casablanca, Maroc",0522709805,contact@eurologistique.ma,Actif,1,10
22,918394863000098,Sous Conseil SNC,SARL,Services,TPE,2184968.68,9,2011-06-04,Casablanca,"Zone Industrielle, N° 284, Route de Saint Margaud-sur-Mer, Casablanca, Maroc",0522878967,contact@sousconseil.ma,Actif,1,11
23,235917419000045,Afric Conseil SARL AU,SARL,Services,TPE,1160284.74,8,2010-05-01,Casablanca,"Zone Industrielle, N° 283, Route de Chevalier, Casablanca, Maroc",0522842411,contact@africconseil.ma,Actif,1,10
24,572949775000053,Société Bouregreg de Génie Civil SA,SARL,BTP,TPE,367177.5,5,2005-10-10,Casablanca,"Zone Industrielle, N° 255, Route de Roussel, Casablanca, Maroc",0522592198,contact@societebouregregdegeniecivil.ma,Actif,1,11
25,426240903000020,Med Distribution SARL,SARL,Commerce,TPE,351745.91,8,2006-03-05,Casablanca,"Zone Industrielle, N° 298, Route de Lopesdan, Casablanca, Maroc",0522950544,contact@meddistribution.ma,Actif,1,10
26,766823010000017,Société Taza de Génie Civil SA,SNC,BTP,Grande Entreprise,147380624.88,1904,2014-10-14,Casablanca,"Zone Industrielle, N° 301, Route de Goncalves, Casablanca, Maroc",0522420214,contact@societetazadegeniecivil.ma,Actif,1,11
27,840206617000086,Société Maroc de Travaux SARL AU,SARL,BTP,PME,75308484.02,63,2007-03-01,Casablanca,"Zone Industrielle, N° 240, Route de Monnier, Casablanca, Maroc",0522528361,contact@societemarocdetravaux.ma,Actif,1,10
28,795392488000029,Afric Construction SNC,SA,BTP,TPE,259935.29,5,2011-07-04,Casablanca,"Zone Industrielle, N° 125, Route de Leconte, Casablanca, Maroc",0522671015,contact@africconstruction.ma,Actif,1,11
29,851333320000061,Société Zilis de Market SARL AU,SNC,Commerce,Grande Entreprise,430652463.86,492,2019-02-15,Casablanca,"Zone Industrielle, N° 165, Route de Boutin, Casablanca, Maroc",0522822131,contact@societezilisdemarket.ma,Actif,1,10
30,717615339000085,Zilis Conseil SARL,SARL,Services,Grande Entreprise,300188870.85,2222,2005-02-08,Casablanca,"Zone Industrielle, N° 438, Route de Saint Élisabeth-sur-Mer, Casablanca, Maroc",0522807053,contact@zilisconseil.ma,Actif,1,11
31,627986559000021,Société Marocaine de Entreprise SARL,SNC,Transport,Grande Entreprise,499828966.75,2953,2010-10-14,Casablanca,"Zone Industrielle, N° 426, Route de Pinto, Casablanca, Maroc",0522765620,contact@societemarocainedeentreprise.ma,Actif,1,10
32,437710224000042,Taza Aménagement SA,SARL,BTP,TPE,2100905.66,6,2017-09-02,Casablanca,"Zone Industrielle, N° 55, Route de Dupuy-sur-Mer, Casablanca, Maroc",0522576919,contact@tazaamenagement.ma,Actif,1,11
33,635252889000090,Société Riad de Entreprise SARL,SARL,Transport,TPE,4853905.16,7,2011-09-12,Casablanca,"Zone Industrielle, N° 397, Route de Lecoq, Casablanca, Maroc",0522752878,contact@societeriaddeentreprise.ma,Actif,1,10
34,114682844000080,Zilis Métal SARL AU,SARL,Industrie,TPE,352897.7,5,2012-12-06,Casablanca,"Zone Industrielle, N° 292, Route de Saint Valentine, Casablanca, Maroc",0522425845,contact@zilismetal.ma,Actif,1,11
35,996278008000071,Société Maghreb de Métal SARL,SNC,Industrie,TPE,1201033.23,2,2014-09-23,Casablanca,"Zone Industrielle, N° 222, Route de Sainte Andrée, Casablanca, Maroc",0522386706,contact@societemaghrebdemetal.ma,Actif,1,10
36,545541033000053,Société Riad de Wholesale SA,SNC,Commerce,Grande Entreprise,197492362.43,2457,2007-05-25,Casablanca,"Zone Industrielle, N° 447, Route de François, Casablanca, Maroc",0522928381,contact@societeriaddewholesale.ma,Actif,1,11
37,456954682000080,Société Bahia de Holding SARL AU,SARL,Services,Grande Entreprise,303095070.32,210,2009-08-18,Casablanca,"Zone Industrielle, N° 186, Route de Duhamel, Casablanca, Maroc",0522607868,contact@societebahiadeholding1.ma,Actif,1,10
38,857232668000058,Société Taza de Entreprise SA,SNC,Transport,PME,40834955.15,92,2018-01-11,Casablanca,"Zone Industrielle, N° 252, Route de Lecomte, Casablanca, Maroc",0522880879,contact@societetazadeentreprise.ma,Actif,1,11
39,590622789000011,Compagnie du Textile SARL,SARL,Industrie,TPE,3352075.26,3,2008-08-04,Casablanca,"Zone Industrielle, N° 476, Route de Delaunaydan, Casablanca, Maroc",0522651499,contact@compagniedutextile.ma,Actif,1,10
40,824085842000078,Bouregreg Entreprise SARL,SARL,Santé,PME,43947968.88,177,2017-11-03,Casablanca,"Zone Industrielle, N° 178, Route de Aubry, Casablanca, Maroc",0522993140,contact@bouregregentreprise.ma,Actif,1,11
41,205702499000091,Société Maroc de Entreprise SARL,SARL,Tourisme,TPE,1651639.65,8,2014-04-24,Casablanca,"Zone Industrielle, N° 232, Route de Hoarau, Casablanca, Maroc",0522194769,contact@societemarocdeentreprise.ma,Actif,1,10
42,542437192000082,Inter Bâtiment SARL,SARL,BTP,PME,14548187.83,52,2016-07-05,Casablanca,"Zone Industrielle, N° 281, Route de Tanguy-la-Forêt, Casablanca, Maroc",0522356059,contact@interbatiment.ma,Actif,1,11
43,593460064000042,Société Koutoubia de Trading SNC,SARL,Commerce,PME,22105404.18,54,2009-04-15,Casablanca,"Zone Industrielle, N° 140, Route de Gilbert-sur-Guillon, Casablanca, Maroc",0522768891,contact@societekoutoubiadetrading.ma,Actif,1,10
44,590523712000048,Société Marocaine de Entreprise SA,EURL,Tourisme,PME,90396310.51,129,2014-11-14,Casablanca,"Zone Industrielle, N° 138, Route de Étienne-sur-Mer, Casablanca, Maroc",0522823846,contact@societemarocainedeentreprise1.ma,Actif,1,11
45,394721069000011,Société Saiss de Market SNC,SARL,Commerce,TPE,1984996.92,8,2014-01-27,Casablanca,"Zone Industrielle, N° 212, Route de Grégoire, Casablanca, Maroc",0522790203,contact@societesaissdemarket.ma,Actif,1,10
46,369108475000096,Bouregreg Entreprise SNC,SARL,Tourisme,PME,70150951.81,22,2016-04-21,Casablanca,"Zone Industrielle, N° 327, Route de RobinVille, Casablanca, Maroc",0522299367,contact@bouregregentreprise1.ma,Actif,1,11
47,241102355000021,Société Koutoubia de Entreprise SARL,SARL,Transport,PME,77909723.58,184,2019-01-19,Casablanca,"Zone Industrielle, N° 384, Route de Saint Lorraine-les-Bains, Casablanca, Maroc",0522482584,contact@societekoutoubiadeentreprise.ma,Actif,1,10
48,617380166000047,Société Saiss de Market SA,SARL,Commerce,Grande Entreprise,230687650.29,1901,2013-03-09,Casablanca,"Zone Industrielle, N° 493, Route de GodardBourg, Casablanca, Maroc",0522964749,contact@societesaissdemarket1.ma,Actif,1,11
49,523671208000011,Afric Câblage SARL,SA,Industrie,PME,37177949.11,39,2017-09-12,Casablanca,"Zone Industrielle, N° 414, Route de Weberdan, Casablanca, Maroc",0522194689,contact@africcablage.ma,Actif,1,10
50,765233376000081,Société Taza de Aménagement SARL AU,SNC,BTP,TPE,705584.81,6,2008-11-08,Casablanca,"Zone Industrielle, N° 22, Route de DeschampsVille, Casablanca, Maroc",0522594379,contact@societetazadeamenagement.ma,Actif,1,11
51,224683417000022,Société Sous de Aménagement SNC,SARL,BTP,TPE,3089402.76,2,2009-01-02,Casablanca,"Zone Industrielle, N° 262, Route de Sainte Paulineboeuf, Casablanca, Maroc",0522419149,contact@societesousdeamenagement.ma,Actif,1,10
52,761051532000062,Société Zilis de Câblage SNC,SARL,Industrie,TPE,2733978.37,7,2018-11-04,Casablanca,"Zone Industrielle, N° 260, Route de Sainte Bernadette-les-Bains, Casablanca, Maroc",0522974190,contact@societezilisdecablage.ma,Actif,1,11
53,527499187000045,Inter Distribution SNC,EURL,Commerce,Grande Entreprise,211896056.03,1717,2016-09-21,Casablanca,"Zone Industrielle, N° 41, Route de Bernard-la-Forêt, Casablanca, Maroc",0522476096,contact@interdistribution.ma,Actif,1,10
54,706210987000036,Société Koutoubia de Market SA,EURL,Commerce,TPE,698582.62,8,2006-06-08,Casablanca,"Zone Industrielle, N° 412, Route de Ledoux-les-Bains, Casablanca, Maroc",0522232040,contact@societekoutoubiademarket.ma,Actif,1,11
55,680051935000042,Bouregreg Manufacture SA,SA,Industrie,TPE,3849271.14,4,2005-05-28,Casablanca,"Zone Industrielle, N° 76, Route de Gautier-la-Forêt, Casablanca, Maroc",0522251716,contact@bouregregmanufacture.ma,Actif,1,10
56,664880035000024,Union Import-Export SARL AU,SARL,Commerce,PME,15443003.05,16,2013-01-05,Casablanca,"Zone Industrielle, N° 225, Route de Raynaud-sur-Mer, Casablanca, Maroc",0522877747,contact@unionimportexport.ma,Actif,1,11
57,423873102000068,Riad Manufacture SARL,SNC,Industrie,PME,50243366.72,102,2006-12-26,Casablanca,"Zone Industrielle, N° 276, Route de Besson, Casablanca, Maroc",0522790909,contact@riadmanufacture.ma,Actif,1,10
58,259272239000018,Société Maroc de Entreprise SNC,SA,Transport,PME,7959310.75,132,2019-02-03,Casablanca,"Zone Industrielle, N° 321, Route de Gimenez, Casablanca, Maroc",0522437758,contact@societemarocdeentreprise1.ma,Actif,1,11
59,802992685000093,Société Riad de Construction SNC,SARL,BTP,TPE,3159155.72,9,2018-02-26,Casablanca,"Zone Industrielle, N° 68, Route de Martinboeuf, Casablanca, Maroc",0522835869,contact@societeriaddeconstruction.ma,Actif,1,10
60,373685835000057,Saiss Security SA,SARL,Services,PME,57376846.7,65,2008-06-14,Casablanca,"Zone Industrielle, N° 350, Route de MoreauBourg, Casablanca, Maroc",0522427704,contact@saisssecurity.ma,Actif,1,11
61,702998820000081,Global Distribution SARL,SA,Commerce,Grande Entreprise,374728414.19,2142,2016-03-18,Casablanca,"Zone Industrielle, N° 310, Route de Le Gall, Casablanca, Maroc",0522162894,contact@globaldistribution.ma,Actif,1,10
62,266140258000094,Société Atlas de Entreprise SNC,SARL,Tourisme,TPE,698933.3,6,2016-02-19,Casablanca,"Zone Industrielle, N° 118, Route de Boyer, Casablanca, Maroc",0522632060,contact@societeatlasdeentreprise.ma,Actif,1,11
63,387169808000013,Euro Entreprise SARL AU,SA,Transport,TPE,4251646.76,6,2005-10-22,Casablanca,"Zone Industrielle, N° 365, Route de Duhamel, Casablanca, Maroc",0522969752,contact@euroentreprise.ma,Actif,1,10
64,132917811000021,Soma Web SARL AU,SARL,Technologies,TPE,3543223.99,5,2017-02-05,Casablanca,"Zone Industrielle, N° 334, Route de Saint Nathdan, Casablanca, Maroc",0522876962,contact@somaweb.ma,Actif,1,11
65,763398699000016,Sous Câblage SA,SARL,Industrie,PME,25437623.6,117,2007-01-05,Casablanca,"Zone Industrielle, N° 396, Route de Saint Gilbertdan, Casablanca, Maroc",0522265056,contact@souscablage.ma,Actif,1,10
66,828230915000096,Sous Logistique SNC,SA,Services,PME,30849770.14,179,2008-06-14,Casablanca,"Zone Industrielle, N° 155, Route de Gaillard-la-Forêt, Casablanca, Maroc",0522216276,contact@souslogistique.ma,Actif,1,11
67,452318696000025,Société Atlas de Distribution SNC,SARL,Commerce,PME,55058740.18,88,2011-03-25,Casablanca,"Zone Industrielle, N° 158, Route de Seguinnec, Casablanca, Maroc",0522367931,contact@societeatlasdedistribution.ma,Actif,1,10
68,568387228000012,Société Riad de Wholesale 1 SA,SA,Commerce,TPE,3760369.2,3,2007-07-28,Casablanca,"Zone Industrielle, N° 31, Route de Gimenez, Casablanca, Maroc",0522878086,contact@societeriaddewholesale1.ma,Actif,1,11
69,763706947000068,Société Koutoubia de Métal SNC,SARL,Industrie,TPE,481526.8,6,2017-01-11,Casablanca,"Zone Industrielle, N° 420, Route de Delannoy, Casablanca, Maroc",0522280222,contact@societekoutoubiademetal.ma,Actif,1,10
70,464549612000038,Global Nettoyage SARL,SARL,Services,PME,92378126.42,32,2007-07-28,Casablanca,"Zone Industrielle, N° 391, Route de Alexandre, Casablanca, Maroc",0522425346,contact@globalnettoyage.ma,Actif,1,11
71,311818984000032,Saiss Aménagement SA,EURL,BTP,TPE,923850.27,9,2009-04-04,Casablanca,"Zone Industrielle, N° 141, Route de Navarro, Casablanca, Maroc",0522253557,contact@saissamenagement.ma,Actif,1,10
72,770575153000051,Bouregreg Market SNC,SA,Commerce,PME,77220453.08,177,2019-11-19,Casablanca,"Zone Industrielle, N° 335, Route de SauvageBourg, Casablanca, Maroc",0522774225,contact@bouregregmarket.ma,Actif,1,11
73,595792218000067,Koutoubia Conseil SNC,SA,Services,PME,64585653.66,48,2006-06-17,Casablanca,"Zone Industrielle, N° 168, Route de Jean, Casablanca, Maroc",0522177794,contact@koutoubiaconseil.ma,Actif,1,10
74,302120588000051,Société Bahia de Market SARL,SARL,Commerce,TPE,1906814.24,5,2006-08-26,Casablanca,"Zone Industrielle, N° 343, Route de Sainte Alphonse-sur-Mer, Casablanca, Maroc",0522699425,contact@societebahiademarket.ma,Actif,1,11
75,662714327000076,Société Maroc de Textile SARL AU,SARL,Industrie,PME,52629893.68,25,2006-04-23,Casablanca,"Zone Industrielle, N° 234, Route de Vasseur-sur-Robert, Casablanca, Maroc",0522559022,contact@societemarocdetextile.ma,Actif,1,10
76,828404274000059,Société Bahia de Services SARL AU,SA,Services,PME,39570306.17,82,2015-02-11,Casablanca,"Zone Industrielle, N° 295, Route de Saint MichelBourg, Casablanca, Maroc",0522199096,contact@societebahiadeservices.ma,Actif,1,11
77,190966348000049,Sous Holding SA,SA,Services,TPE,3646294.91,3,2017-03-20,Casablanca,"Zone Industrielle, N° 490, Route de Sainte David, Casablanca, Maroc",0522843266,contact@sousholding.ma,Actif,1,10
78,329987621000053,Société Koutoubia de Oléicole SARL,SARL,Agriculture,PME,66131860.02,94,2005-06-10,Casablanca,"Zone Industrielle, N° 496, Route de Gomez-la-Forêt, Casablanca, Maroc",0522289019,contact@societekoutoubiadeoleicole.ma,Actif,1,11
79,922816526000089,Euro Entreprise SA,SARL,Éducation,Grande Entreprise,294508368.35,1127,2021-01-22,Casablanca,"Zone Industrielle, N° 458, Route de Benoit-les-Bains, Casablanca, Maroc",0522453123,contact@euroentreprise1.ma,Actif,1,10
80,903734960000067,Société Med de Distribution SA,SARL,Commerce,TPE,1945927.37,3,2012-08-20,Casablanca,"Zone Industrielle, N° 395, Route de Verdier-sur-Reynaud, Casablanca, Maroc",0522398768,contact@societemeddedistribution.ma,Actif,1,11
81,274008639000035,Koutoubia Entreprise SA,SARL,Tourisme,TPE,1271925.64,8,2014-07-17,Casablanca,"Zone Industrielle, N° 224, Route de Reynaud, Casablanca, Maroc",0522653081,contact@koutoubiaentreprise.ma,Actif,1,10
82,272134062000044,Riad Distribution SNC,SA,Commerce,PME,18147860.79,74,2021-02-10,Casablanca,"Zone Industrielle, N° 400, Route de AubertBourg, Casablanca, Maroc",0522187949,contact@riaddistribution.ma,Actif,1,11
83,187623171000057,Saiss Distribution SA,SARL,Commerce,TPE,2615428.42,7,2017-09-12,Casablanca,"Zone Industrielle, N° 207, Route de Sainte Adriennenec, Casablanca, Maroc",0522347231,contact@saissdistribution.ma,Actif,1,10
84,857563699000070,Soma Entreprise SARL AU,SARL,Transport,TPE,1661555.89,2,2020-12-27,Casablanca,"Zone Industrielle, N° 398, Route de BigotVille, Casablanca, Maroc",0522245534,contact@somaentreprise.ma,Actif,1,11
85,423358638000025,Compagnie du Wholesale SA,SARL,Commerce,TPE,125730.87,2,2018-02-25,Casablanca,"Zone Industrielle, N° 131, Route de Saint Anneboeuf, Casablanca, Maroc",0522402096,contact@compagnieduwholesale.ma,Actif,1,10
86,101679695000088,Société Riad de Distribution SNC,SARL,Commerce,TPE,2157145.16,8,2012-12-05,Casablanca,"Zone Industrielle, N° 229, Route de Saint Léon-sur-Mer, Casablanca, Maroc",0522405420,contact@societeriaddedistribution.ma,Actif,1,11
87,604803700000015,Société Saiss de Bâtiment SARL,EURL,BTP,TPE,2896252.21,3,2021-09-18,Casablanca,"Zone Industrielle, N° 209, Route de Pons-les-Bains, Casablanca, Maroc",0522121322,contact@societesaissdebatiment.ma,Actif,1,10
88,243247463000015,Inter Ferme SARL AU,SA,Agriculture,PME,98198745.14,74,2008-10-24,Casablanca,"Zone Industrielle, N° 180, Route de Vidal-la-Forêt, Casablanca, Maroc",0522893435,contact@interferme.ma,Actif,1,11
89,415081566000035,Société Med de Entreprise SNC,SA,Transport,TPE,1758881.57,3,2007-12-25,Casablanca,"Zone Industrielle, N° 28, Route de MenardBourg, Casablanca, Maroc",0522579911,contact@societemeddeentreprise.ma,Actif,1,10
90,938422254000016,Société Taza de Nettoyage SARL AU,SARL,Services,TPE,1077402.19,1,2006-11-07,Casablanca,"Zone Industrielle, N° 192, Route de DiasBourg, Casablanca, Maroc",0522400009,contact@societetazadenettoyage.ma,Actif,1,11
91,634211672000057,Zilis Oléicole SNC,SNC,Agriculture,PME,36532845.21,41,2017-06-06,Casablanca,"Zone Industrielle, N° 364, Route de Saint Éric, Casablanca, Maroc",0522620306,contact@zilisoleicole.ma,Actif,1,10
92,417440983000049,Bahia Ferme SARL,SARL,Agriculture,Grande Entreprise,307710341.41,538,2015-02-03,Casablanca,"Zone Industrielle, N° 348, Route de Brun, Casablanca, Maroc",0522443848,contact@bahiaferme.ma,Actif,1,11
93,949842840000017,Atlas Aménagement SARL AU,SNC,BTP,TPE,3616548.27,3,2016-10-14,Casablanca,"Zone Industrielle, N° 337, Route de Valléedan, Casablanca, Maroc",0522387892,contact@atlasamenagement.ma,Actif,1,10
94,935924516000092,Soma Textile SA,SA,Industrie,TPE,3223811.44,6,2019-01-05,Casablanca,"Zone Industrielle, N° 130, Route de Maréchal, Casablanca, Maroc",0522170499,contact@somatextile.ma,Actif,1,11
95,797460535000045,Saiss Génie Civil SNC,SA,BTP,TPE,1975986.57,1,2009-09-12,Casablanca,"Zone Industrielle, N° 170, Route de Saint Alex, Casablanca, Maroc",0522517368,contact@saissgeniecivil.ma,Actif,1,10
96,627422192000035,Société Maroc de Plastique SNC,SA,Industrie,TPE,655898.2,3,2019-04-20,Casablanca,"Zone Industrielle, N° 365, Route de Sainte Rémy, Casablanca, Maroc",0522399449,contact@societemarocdeplastique.ma,Actif,1,11
97,422076028000030,Inter Wholesale SNC,SARL,Commerce,TPE,4278848.82,8,2007-09-18,Casablanca,"Zone Industrielle, N° 466, Route de Renaultnec, Casablanca, Maroc",0522404466,contact@interwholesale.ma,Actif,1,10
98,487509692000080,Société Chaouia de Distribution SARL AU,EURL,Commerce,PME,93095823.39,173,2009-04-26,Casablanca,"Zone Industrielle, N° 23, Route de Peltierdan, Casablanca, Maroc",0522618019,contact@societechaouiadedistribution.ma,Actif,1,11
99,984053945000083,Euro Négoce SARL,EURL,Commerce,PME,49403554.73,151,2020-09-14,Casablanca,"Zone Industrielle, N° 219, Route de Aubert, Casablanca, Maroc",0522906527,contact@euronegoce.ma,Actif,1,10
100,233316990000076,Compagnie du Holding SARL AU,SARL,Services,TPE,4864660.68,2,2009-07-17,Casablanca,"Zone Industrielle, N° 435, Route de Carpentier, Casablanca, Maroc",0522158104,contact@compagnieduholding.ma,Actif,1,11
101,234400576000090,Riad Soft SA,SA,Technologies,TPE,906819.69,6,2013-04-21,Casablanca,"Zone Industrielle, N° 150, Route de Saint Océane, Casablanca, Maroc",0522677599,contact@riadsoft.ma,Actif,1,10
102,130465806000020,Union Aménagement SA,SNC,BTP,TPE,2714042.35,9,2015-10-02,Casablanca,"Zone Industrielle, N° 452, Route de Boyer, Casablanca, Maroc",0522965322,contact@unionamenagement.ma,Actif,1,11
103,964027324000097,Société Koutoubia de Bâtiment SNC,SARL,BTP,TPE,3243123.3,5,2014-11-10,Casablanca,"Zone Industrielle, N° 135, Route de Sainte Constance, Casablanca, Maroc",0522606404,contact@societekoutoubiadebatiment.ma,Actif,1,10
104,888340979000054,Med Trading SNC,SARL,Commerce,TPE,2322366.25,1,2009-06-28,Casablanca,"Zone Industrielle, N° 173, Route de BarbierVille, Casablanca, Maroc",0522853258,contact@medtrading.ma,Actif,1,11
105,411612760000059,Chaouia Métal SARL,SARL,Industrie,Grande Entreprise,152306460.62,1717,2019-04-05,Casablanca,"Zone Industrielle, N° 35, Route de Faure-les-Bains, Casablanca, Maroc",0522201514,contact@chaouiametal.ma,Actif,1,10
106,196689473000060,Soma Oléicole SARL AU,EURL,Agriculture,PME,44722800.62,50,2019-08-10,Casablanca,"Zone Industrielle, N° 21, Route de Saint Margot-sur-Mer, Casablanca, Maroc",0522621530,contact@somaoleicole.ma,Actif,1,11
107,215424112000065,Euro Métal SARL,SARL,Industrie,TPE,4836764.49,4,2020-05-18,Casablanca,"Zone Industrielle, N° 443, Route de Mathieu-sur-Mer, Casablanca, Maroc",0522108574,contact@eurometal.ma,Actif,1,10
108,514838889000074,Global Agro SARL AU,SARL,Agriculture,TPE,1395917.21,6,2011-06-18,Casablanca,"Zone Industrielle, N° 47, Route de Valentin-sur-Fournier, Casablanca, Maroc",0522402620,contact@globalagro.ma,Actif,1,11
109,530986098000074,Saiss Import-Export SARL,SARL,Commerce,TPE,2794299.74,2,2016-03-07,Casablanca,"Zone Industrielle, N° 270, Route de Faure-sur-Humbert, Casablanca, Maroc",0522731728,contact@saissimportexport.ma,Actif,1,10
110,421300425000085,Union Agrumes 1 SNC,SARL,Agriculture,TPE,290678.43,6,2015-03-13,Casablanca,"Zone Industrielle, N° 388, Route de Moreno-sur-Barbe, Casablanca, Maroc",0522746447,contact@unionagrumes1.ma,Actif,1,11
111,878810937000098,Atlas Plastique SARL AU,SARL,Industrie,TPE,4158617.99,9,2008-07-19,Casablanca,"Zone Industrielle, N° 417, Route de Bertin, Casablanca, Maroc",0522422623,contact@atlasplastique.ma,Actif,1,10
112,133898577000083,Société Atlas de Entreprise SA,SARL,Santé,PME,61706413.52,77,2017-03-27,Casablanca,"Zone Industrielle, N° 134, Route de Laroche, Casablanca, Maroc",0522813793,contact@societeatlasdeentreprise1.ma,Actif,1,11
113,881042056000017,Global Holding SNC,SARL,Services,Grande Entreprise,143958208.53,277,2021-10-16,Casablanca,"Zone Industrielle, N° 386, Route de Dupuis, Casablanca, Maroc",0522989587,contact@globalholding.ma,Actif,1,10
114,825708356000097,Société Taza de Conseil SNC,EURL,Services,PME,54274905.1,153,2019-09-11,Casablanca,"Zone Industrielle, N° 191, Route de Delaunay, Casablanca, Maroc",0522672808,contact@societetazadeconseil.ma,Actif,1,11
115,856975382000072,Riad Plastique SA,SARL,Industrie,PME,70864764.45,166,2014-05-23,Casablanca,"Zone Industrielle, N° 363, Route de Leconte, Casablanca, Maroc",0522317346,contact@riadplastique.ma,Actif,1,10
