id_souscription,id_entreprise,id_solution,date_souscription,statut,niveau_utilisation
88,54,2,2022-09-25,ACTIF,FAIBLE
89,56,4,2022-03-14,ACTIF,MOYEN
90,57,4,2022-07-05,ACTIF,ELEVE
91,58,1,2022-06-12,RESILIE,ELEVE
92,58,2,2022-02-21,ACTIF,ELEVE
93,58,4,2022-07-15,ACTIF,MOYEN
94,59,2,2022-07-10,ACTIF,MOYEN
95,59,5,2022-10-16,ACTIF,MOYEN
96,60,2,2022-12-22,ACTIF,MOYEN
97,61,1,2022-01-25,ACTIF,ELEVE
98,62,2,2022-09-29,ACTIF,FAIBLE
99,62,4,2022-10-14,ACTIF,MOYEN
100,62,5,2022-04-25,ACTIF,MOYEN
101,63,1,2022-12-17,ACTIF,ELEVE
102,63,2,2022-01-25,ACTIF,MOYEN
103,64,2,2022-09-25,ACTIF,ELEVE
104,65,2,2022-07-13,ACTIF,ELEVE
105,65,4,2022-05-06,ACTIF,MOYEN
106,65,5,2022-08-10,ACTIF,FAIBLE
107,66,1,2022-11-23,ACTIF,MOYEN
108,66,2,2022-07-13,ACTIF,ELEVE
109,66,4,2022-03-10,ACTIF,MOYEN
110,67,4,2022-10-21,ACTIF,MOYEN
111,67,5,2022-10-13,ACTIF,MOYEN
112,68,1,2022-04-05,ACTIF,FAIBLE
113,68,2,2022-05-17,ACTIF,ELEVE
114,68,5,2022-12-28,ACTIF,FAIBLE
115,69,1,2022-08-23,RESILIE,MOYEN
116,69,2,2022-12-26,ACTIF,MOYEN
117,69,4,2022-02-14,ACTIF,MOYEN
118,70,1,2022-02-28,ACTIF,FAIBLE
119,70,2,2022-03-11,ACTIF,FAIBLE
120,70,3,2022-04-23,ACTIF,FAIBLE
121,70,5,2022-09-25,ACTIF,ELEVE
122,71,2,2022-12-26,ACTIF,FAIBLE
123,71,5,2022-02-17,ACTIF,ELEVE
124,72,2,2022-12-23,ACTIF,FAIBLE
125,72,5,2022-07-21,ACTIF,ELEVE
126,73,4,2022-04-15,ACTIF,MOYEN
127,74,5,2022-02-19,ACTIF,FAIBLE
128,75,5,2022-03-21,ACTIF,ELEVE
129,76,1,2022-04-11,ACTIF,FAIBLE
130,76,4,2022-07-28,ACTIF,FAIBLE
131,77,4,2022-07-05,ACTIF,ELEVE
132,77,5,2022-06-28,RESILIE,MOYEN
133,78,2,2022-07-25,ACTIF,ELEVE
134,78,5,2022-02-24,ACTIF,FAIBLE
135,80,1,2022-07-30,ACTIF,MOYEN
136,80,4,2022-05-01,ACTIF,ELEVE
137,81,1,2022-11-15,ACTIF,FAIBLE
138,81,4,2022-03-08,ACTIF,ELEVE
139,81,5,2022-09-27,ACTIF,FAIBLE
140,82,2,2022-02-23,ACTIF,MOYEN
141,82,4,2022-06-01,ACTIF,FAIBLE
142,82,5,2022-08-30,ACTIF,FAIBLE
143,83,2,2022-01-16,ACTIF,ELEVE
144,84,3,2022-08-19,ACTIF,ELEVE
145,85,1,2022-09-11,ACTIF,MOYEN
146,85,3,2022-08-19,ACTIF,ELEVE
147,86,1,2022-03-05,ACTIF,MOYEN
148,86,2,2022-10-11,ACTIF,ELEVE
149,86,3,2022-06-18,ACTIF,FAIBLE
150,86,5,2022-05-11,ACTIF,ELEVE
151,87,4,2022-08-23,ACTIF,MOYEN
152,88,1,2022-02-03,ACTIF,MOYEN
153,88,5,2022-05-24,ACTIF,ELEVE
154,89,4,2022-06-17,ACTIF,FAIBLE
155,90,1,2022-11-17,ACTIF,MOYEN
156,90,2,2022-02-20,ACTIF,ELEVE
157,90,4,2022-08-07,ACTIF,ELEVE
158,90,5,2022-01-21,ACTIF,MOYEN
159,91,1,2022-07-05,ACTIF,FAIBLE
160,91,2,2022-08-07,ACTIF,ELEVE
161,91,5,2022-01-17,ACTIF,FAIBLE
162,93,2,2022-01-21,ACTIF,FAIBLE
163,93,4,2022-07-23,ACTIF,ELEVE
164,94,1,2022-12-31,ACTIF,ELEVE
165,94,2,2022-07-20,ACTIF,MOYEN
166,95,1,2022-05-25,ACTIF,MOYEN
167,95,4,2022-04-09,ACTIF,ELEVE
168,95,5,2022-03-02,ACTIF,FAIBLE
169,96,1,2022-03-01,ACTIF,ELEVE
170,97,1,2022-05-08,ACTIF,MOYEN
171,98,3,2022-07-11,ACTIF,MOYEN
172,99,1,2022-03-23,ACTIF,MOYEN
173,99,3,2022-03-04,ACTIF,MOYEN
174,101,1,2022-10-28,ACTIF,MOYEN
175,101,2,2022-09-10,ACTIF,ELEVE
176,101,3,2022-08-02,ACTIF,MOYEN
177,101,4,2022-12-17,ACTIF,ELEVE
178,103,2,2022-05-12,ACTIF,FAIBLE
179,104,2,2022-09-28,RESILIE,MOYEN
180,104,5,2022-06-08,ACTIF,ELEVE
181,105,5,2022-03-16,ACTIF,ELEVE
182,106,1,2022-01-26,ACTIF,MOYEN
183,106,2,2022-02-11,ACTIF,MOYEN
184,106,5,2022-11-08,ACTIF,ELEVE
185,107,2,2022-03-17,ACTIF,FAIBLE
186,108,1,2022-09-03,ACTIF,MOYEN
187,109,2,2022-08-02,ACTIF,ELEVE
188,110,5,2023-01-01,ACTIF,MOYEN
189,111,1,2022-08-17,ACTIF,FAIBLE
190,111,2,2022-11-14,ACTIF,ELEVE
191,112,2,2022-03-24,ACTIF,MOYEN
192,113,5,2022-12-16,ACTIF,FAIBLE
193,114,2,2022-07-27,ACTIF,FAIBLE
194,115,2,2022-02-28,ACTIF,FAIBLE
195,115,5,2022-10-26,ACTIF,ELEVE
196,116,1,2022-02-01,ACTIF,MOYEN
197,116,4,2022-04-09,ACTIF,FAIBLE
198,117,1,2022-03-30,ACTIF,FAIBLE
199,118,5,2022-05-28,ACTIF,ELEVE
200,119,2,2022-07-11,ACTIF,ELEVE
201,119,5,2022-03-28,ACTIF,ELEVE
202,120,1,2022-07-10,ACTIF,FAIBLE
203,120,3,2022-07-30,ACTIF,MOYEN
204,121,1,2022-09-18,ACTIF,MOYEN
205,121,2,2022-11-08,ACTIF,ELEVE
206,121,5,2022-07-20,RESILIE,MOYEN
207,122,3,2022-05-22,ACTIF,MOYEN
208,125,1,2022-11-14,ACTIF,FAIBLE
209,125,2,2022-02-23,ACTIF,MOYEN
210,126,1,2022-08-09,ACTIF,MOYEN
211,128,1,2022-02-24,ACTIF,MOYEN
212,128,5,2022-03-14,ACTIF,MOYEN
213,129,2,2022-03-15,ACTIF,MOYEN
214,129,3,2022-04-19,ACTIF,ELEVE
215,129,4,2022-01-18,ACTIF,FAIBLE
216,130,1,2022-09-22,ACTIF,MOYEN
217,130,2,2022-01-26,ACTIF,FAIBLE
218,130,5,2022-09-23,ACTIF,MOYEN
219,131,2,2022-06-06,ACTIF,ELEVE
220,131,3,2022-02-19,ACTIF,FAIBLE
221,131,4,2022-08-16,ACTIF,FAIBLE
222,131,5,2022-01-25,ACTIF,FAIBLE
223,132,4,2022-02-11,ACTIF,FAIBLE
224,132,5,2022-09-19,ACTIF,ELEVE
225,133,1,2022-10-20,ACTIF,FAIBLE
226,133,5,2022-05-17,ACTIF,ELEVE
227,134,3,2022-02-10,ACTIF,FAIBLE
228,135,1,2022-03-25,ACTIF,MOYEN
229,135,2,2022-12-21,ACTIF,ELEVE
230,136,1,2022-02-07,ACTIF,ELEVE
231,136,2,2022-11-23,ACTIF,MOYEN
232,136,3,2022-03-23,ACTIF,MOYEN
233,136,4,2022-03-18,ACTIF,ELEVE
234,137,2,2022-04-02,ACTIF,ELEVE
235,137,3,2022-06-02,ACTIF,ELEVE
236,137,4,2022-09-17,ACTIF,ELEVE
237,137,5,2022-03-09,ACTIF,MOYEN
238,138,5,2022-05-04,ACTIF,ELEVE
239,139,1,2022-11-19,RESILIE,FAIBLE
240,140,2,2022-06-23,ACTIF,FAIBLE
241,141,1,2022-03-23,ACTIF,MOYEN
242,141,5,2022-12-16,RESILIE,ELEVE
243,142,4,2022-12-12,ACTIF,MOYEN
244,143,1,2022-05-28,ACTIF,MOYEN
245,143,2,2022-12-04,ACTIF,MOYEN
246,144,4,2022-08-11,ACTIF,ELEVE
247,144,5,2022-10-08,ACTIF,ELEVE
248,145,5,2022-10-16,ACTIF,ELEVE
249,146,1,2022-06-15,ACTIF,MOYEN
250,146,2,2022-02-10,ACTIF,ELEVE
251,146,3,2022-06-11,ACTIF,FAIBLE
252,146,5,2022-05-12,ACTIF,MOYEN
253,147,1,2022-04-11,ACTIF,MOYEN
254,147,4,2022-07-22,ACTIF,MOYEN
255,148,1,2022-11-18,ACTIF,FAIBLE
256,148,4,2022-12-04,ACTIF,FAIBLE
257,149,1,2022-05-19,ACTIF,FAIBLE
258,149,2,2022-09-08,ACTIF,FAIBLE
259,149,5,2022-07-03,ACTIF,MOYEN
260,150,5,2022-11-24,ACTIF,FAIBLE
261,151,1,2022-10-13,ACTIF,ELEVE
262,151,3,2022-11-06,ACTIF,ELEVE
263,152,2,2022-08-17,ACTIF,ELEVE
264,153,1,2022-07-15,ACTIF,FAIBLE
265,153,2,2022-04-12,ACTIF,FAIBLE
266,154,2,2022-01-21,ACTIF,FAIBLE
267,154,3,2022-10-31,ACTIF,FAIBLE
268,156,1,2022-09-04,ACTIF,ELEVE
269,156,4,2022-12-19,ACTIF,FAIBLE
270,156,5,2022-12-10,ACTIF,FAIBLE
271,158,2,2022-06-02,ACTIF,ELEVE
272,158,3,2022-05-14,ACTIF,ELEVE
273,158,5,2022-05-04,ACTIF,ELEVE
274,159,2,2022-07-12,ACTIF,FAIBLE
275,159,4,2022-09-06,ACTIF,FAIBLE
276,160,5,2022-07-09,ACTIF,FAIBLE
277,161,2,2022-04-18,ACTIF,FAIBLE
278,161,3,2022-04-17,ACTIF,FAIBLE
279,161,5,2022-12-06,ACTIF,ELEVE
280,162,1,2022-09-07,ACTIF,FAIBLE
281,162,2,2022-02-07,ACTIF,MOYEN
282,162,4,2022-03-24,ACTIF,MOYEN
283,162,5,2022-03-02,ACTIF,MOYEN
284,163,1,2022-09-28,ACTIF,FAIBLE
285,163,5,2022-04-03,ACTIF,FAIBLE
286,164,5,2022-11-15,ACTIF,ELEVE
287,165,3,2022-05-15,ACTIF,ELEVE
288,165,4,2022-09-21,ACTIF,ELEVE
289,165,5,2022-05-23,RESILIE,ELEVE
290,166,1,2022-01-26,ACTIF,MOYEN
291,166,2,2022-06-23,RESILIE,ELEVE
292,167,2,2022-09-27,ACTIF,MOYEN
293,167,5,2022-05-14,RESILIE,FAIBLE
294,168,2,2022-06-07,ACTIF,MOYEN
295,169,1,2022-02-23,ACTIF,ELEVE
296,169,5,2022-06-26,ACTIF,FAIBLE
297,170,2,2022-02-22,ACTIF,MOYEN
298,170,3,2022-06-25,ACTIF,ELEVE
299,171,2,2022-09-01,ACTIF,MOYEN
300,173,1,2022-02-25,ACTIF,MOYEN
301,173,2,2022-03-06,ACTIF,FAIBLE
302,174,2,2022-11-16,ACTIF,FAIBLE
303,175,2,2022-10-10,ACTIF,FAIBLE
304,176,1,2023-01-01,ACTIF,MOYEN
305,176,3,2022-07-14,ACTIF,ELEVE
306,176,5,2022-08-08,ACTIF,ELEVE
307,177,1,2022-09-18,ACTIF,FAIBLE
308,177,2,2022-04-05,ACTIF,ELEVE
309,178,1,2022-12-24,ACTIF,MOYEN
310,178,5,2022-09-11,ACTIF,ELEVE
311,179,4,2022-08-08,ACTIF,ELEVE
312,181,1,2022-06-10,ACTIF,ELEVE
313,181,2,2022-02-25,ACTIF,MOYEN
314,181,4,2022-08-26,ACTIF,MOYEN
315,182,2,2022-10-30,ACTIF,MOYEN
316,182,4,2022-06-20,ACTIF,MOYEN
317,182,5,2022-11-23,ACTIF,MOYEN
318,183,1,2022-06-20,ACTIF,FAIBLE
319,183,2,2022-02-09,ACTIF,ELEVE
320,183,5,2022-02-01,ACTIF,FAIBLE
321,184,2,2022-07-04,ACTIF,FAIBLE
322,185,1,2022-04-28,ACTIF,FAIBLE
323,185,5,2022-08-16,ACTIF,FAIBLE
324,186,3,2022-03-09,ACTIF,FAIBLE
325,186,4,2022-07-26,ACTIF,MOYEN
326,186,5,2022-02-14,ACTIF,MOYEN
327,187,4,2022-10-31,ACTIF,ELEVE
328,188,4,2022-10-04,ACTIF,MOYEN
329,188,5,2022-08-04,ACTIF,FAIBLE
330,189,4,2022-12-25,ACTIF,FAIBLE
331,190,1,2022-06-25,ACTIF,FAIBLE
332,190,4,2022-06-07,ACTIF,FAIBLE
333,191,2,2022-06-03,ACTIF,MOYEN
334,191,3,2022-11-29,ACTIF,MOYEN
335,192,2,2022-07-07,ACTIF,FAIBLE
336,192,5,2022-03-22,ACTIF,FAIBLE
337,193,1,2022-06-11,ACTIF,FAIBLE
338,194,1,2022-02-25,ACTIF,ELEVE
339,194,3,2022-05-30,ACTIF,FAIBLE
340,194,5,2022-10-02,ACTIF,FAIBLE
341,195,2,2022-10-20,ACTIF,FAIBLE
342,195,4,2022-10-12,ACTIF,ELEVE
343,195,5,2022-12-07,ACTIF,ELEVE
344,197,5,2022-06-20,ACTIF,FAIBLE
345,198,1,2022-05-28,ACTIF,ELEVE
346,198,2,2022-10-21,ACTIF,MOYEN
347,198,3,2022-09-09,ACTIF,FAIBLE
348,198,4,2022-02-06,ACTIF,FAIBLE
349,199,3,2022-04-04,ACTIF,MOYEN
350,200,4,2022-11-05,ACTIF,MOYEN
351,200,5,2022-05-31,ACTIF,MOYEN
352,204,4,2022-02-08,ACTIF,FAIBLE
353,204,5,2022-04-27,ACTIF,FAIBLE
354,205,1,2022-10-30,ACTIF,ELEVE
355,205,2,2022-07-10,ACTIF,FAIBLE
356,205,4,2022-03-16,ACTIF,MOYEN
357,206,1,2022-09-03,ACTIF,FAIBLE
358,206,2,2022-11-05,ACTIF,ELEVE
359,206,3,2022-08-01,ACTIF,MOYEN
360,207,2,2022-04-27,ACTIF,FAIBLE
361,207,5,2022-06-26,ACTIF,MOYEN
362,208,2,2022-12-20,ACTIF,MOYEN
363,208,5,2022-05-09,ACTIF,FAIBLE
364,209,2,2022-11-28,ACTIF,ELEVE
365,209,5,2022-05-13,ACTIF,FAIBLE
366,210,2,2022-11-26,ACTIF,MOYEN
367,210,5,2022-01-18,ACTIF,MOYEN
368,211,1,2022-09-03,ACTIF,MOYEN
369,211,2,2022-12-12,ACTIF,ELEVE
370,211,5,2023-01-01,ACTIF,FAIBLE
371,212,4,2022-03-05,ACTIF,FAIBLE
372,212,5,2022-08-02,ACTIF,MOYEN
373,213,1,2022-06-13,ACTIF,ELEVE
374,214,4,2022-02-20,ACTIF,MOYEN
375,215,2,2022-02-12,ACTIF,MOYEN
376,215,3,2022-02-21,ACTIF,MOYEN
377,216,2,2022-06-23,ACTIF,ELEVE
378,216,5,2022-10-13,ACTIF,FAIBLE
379,217,2,2022-11-05,ACTIF,ELEVE
380,217,5,2022-01-28,ACTIF,FAIBLE
381,218,1,2022-06-15,ACTIF,FAIBLE
382,218,5,2022-05-12,ACTIF,FAIBLE
383,219,2,2022-11-01,ACTIF,ELEVE
384,220,1,2022-03-12,ACTIF,MOYEN
385,220,2,2022-05-04,ACTIF,ELEVE
386,220,4,2022-02-13,ACTIF,MOYEN
387,221,2,2022-08-10,ACTIF,MOYEN
388,221,4,2022-11-26,ACTIF,MOYEN
389,222,1,2022-09-05,RESILIE,FAIBLE
390,222,5,2022-10-02,ACTIF,MOYEN
391,223,1,2022-04-26,ACTIF,ELEVE
392,223,5,2022-12-20,ACTIF,FAIBLE
393,224,1,2022-09-18,ACTIF,ELEVE
394,224,4,2022-02-25,ACTIF,FAIBLE
395,224,5,2022-03-20,ACTIF,MOYEN
396,226,1,2022-05-13,ACTIF,MOYEN
397,226,2,2022-03-19,ACTIF,MOYEN
398,226,3,2022-11-12,ACTIF,ELEVE
399,226,5,2022-05-30,ACTIF,MOYEN
400,227,1,2022-11-15,ACTIF,ELEVE
401,227,2,2022-03-09,ACTIF,MOYEN
402,228,2,2022-05-17,ACTIF,MOYEN
403,228,5,2022-10-19,ACTIF,MOYEN
404,229,4,2022-12-14,ACTIF,FAIBLE
405,230,1,2022-02-12,ACTIF,FAIBLE
406,230,2,2022-03-13,ACTIF,ELEVE
407,230,3,2022-07-02,ACTIF,MOYEN
408,230,4,2022-11-11,ACTIF,MOYEN
409,230,5,2022-05-25,ACTIF,ELEVE
410,231,2,2022-03-01,ACTIF,FAIBLE
411,231,5,2022-04-24,ACTIF,ELEVE
412,232,2,2022-11-05,ACTIF,ELEVE
413,233,4,2022-05-07,ACTIF,FAIBLE
414,235,1,2022-08-15,RESILIE,MOYEN
415,235,3,2022-03-27,RESILIE,FAIBLE
416,236,1,2022-03-28,ACTIF,FAIBLE
417,237,1,2022-07-31,ACTIF,FAIBLE
418,237,5,2022-08-15,ACTIF,MOYEN
419,238,2,2022-05-18,ACTIF,MOYEN
420,239,2,2022-06-05,ACTIF,FAIBLE
421,239,3,2022-11-07,ACTIF,ELEVE
422,239,5,2022-04-17,ACTIF,MOYEN
423,240,2,2022-12-07,ACTIF,MOYEN
424,240,4,2022-11-20,ACTIF,FAIBLE
425,240,5,2022-12-01,ACTIF,ELEVE
426,241,5,2022-05-27,ACTIF,MOYEN
427,243,4,2022-03-16,ACTIF,FAIBLE
428,244,1,2022-08-22,ACTIF,MOYEN
429,244,3,2022-10-30,ACTIF,MOYEN
430,244,5,2022-07-13,ACTIF,ELEVE
431,245,2,2022-12-09,ACTIF,MOYEN
432,245,3,2022-09-19,ACTIF,ELEVE
433,245,5,2022-07-17,ACTIF,ELEVE
434,246,1,2022-06-01,RESILIE,MOYEN
435,246,2,2022-03-16,ACTIF,MOYEN
436,247,1,2022-04-23,ACTIF,MOYEN
437,247,2,2022-01-19,ACTIF,FAIBLE
438,249,1,2022-07-18,ACTIF,MOYEN
439,249,2,2022-07-12,ACTIF,FAIBLE
440,249,4,2022-09-04,ACTIF,MOYEN
441,249,5,2022-09-18,ACTIF,ELEVE
442,250,3,2022-10-13,ACTIF,MOYEN
443,251,2,2022-03-09,ACTIF,FAIBLE
444,251,5,2022-05-02,ACTIF,FAIBLE
445,252,2,2022-05-23,ACTIF,FAIBLE
446,252,4,2022-04-11,ACTIF,ELEVE
447,253,1,2022-09-11,RESILIE,FAIBLE
448,253,3,2022-03-13,ACTIF,FAIBLE
449,254,1,2022-04-13,ACTIF,ELEVE
450,254,5,2022-07-13,ACTIF,FAIBLE
451,255,2,2022-11-27,ACTIF,MOYEN
452,255,4,2022-09-13,ACTIF,MOYEN
453,255,5,2022-12-31,ACTIF,ELEVE
454,256,2,2022-05-03,ACTIF,ELEVE
455,256,3,2022-12-01,ACTIF,ELEVE
456,256,5,2022-01-25,RESILIE,FAIBLE
457,257,2,2022-03-15,ACTIF,ELEVE
458,257,4,2022-03-22,ACTIF,FAIBLE
459,257,5,2022-02-09,ACTIF,FAIBLE
460,258,1,2022-09-04,ACTIF,FAIBLE
461,258,2,2022-04-04,ACTIF,ELEVE
462,258,5,2022-06-04,ACTIF,ELEVE
463,259,2,2022-09-06,ACTIF,MOYEN
464,260,1,2022-10-29,ACTIF,FAIBLE
465,260,2,2022-08-16,ACTIF,ELEVE
466,260,3,2022-08-22,ACTIF,ELEVE
467,261,1,2022-05-23,ACTIF,FAIBLE
468,261,2,2022-06-07,ACTIF,MOYEN
469,261,3,2022-03-07,ACTIF,MOYEN
470,261,5,2022-10-22,ACTIF,MOYEN
471,262,3,2022-12-17,ACTIF,FAIBLE
472,262,4,2022-11-09,ACTIF,MOYEN
473,262,5,2022-01-17,ACTIF,ELEVE
474,263,1,2022-07-18,ACTIF,FAIBLE
475,263,2,2022-11-24,ACTIF,MOYEN
476,264,2,2022-04-09,ACTIF,ELEVE
477,264,3,2022-05-21,ACTIF,ELEVE
478,265,2,2022-10-23,RESILIE,FAIBLE
479,265,5,2022-06-03,ACTIF,ELEVE
480,267,4,2022-03-11,ACTIF,FAIBLE
481,267,5,2022-04-07,ACTIF,MOYEN
482,269,1,2022-02-05,ACTIF,FAIBLE
483,269,2,2022-10-15,ACTIF,ELEVE
484,269,4,2022-07-18,ACTIF,ELEVE
485,270,3,2022-10-21,ACTIF,MOYEN
486,271,2,2022-11-23,ACTIF,FAIBLE
487,272,2,2022-04-18,ACTIF,FAIBLE
488,272,5,2022-08-31,ACTIF,MOYEN
489,273,2,2022-12-30,ACTIF,FAIBLE
490,273,5,2022-06-21,ACTIF,MOYEN
491,274,2,2022-05-24,ACTIF,MOYEN
492,274,4,2022-08-03,ACTIF,FAIBLE
493,275,5,2022-03-12,ACTIF,MOYEN
494,276,2,2022-05-01,ACTIF,FAIBLE
495,276,5,2022-10-06,ACTIF,FAIBLE
496,277,3,2022-10-02,ACTIF,ELEVE
497,278,1,2022-09-26,ACTIF,MOYEN
498,278,2,2022-03-16,ACTIF,ELEVE
499,281,1,2022-10-09,ACTIF,ELEVE
500,284,2,2022-05-20,ACTIF,FAIBLE
501,284,4,2022-01-18,ACTIF,MOYEN
502,286,1,2022-06-06,ACTIF,MOYEN
503,286,5,2022-03-13,ACTIF,FAIBLE
504,287,4,2022-12-09,ACTIF,MOYEN
505,287,5,2022-09-04,RESILIE,MOYEN
506,288,1,2022-08-04,ACTIF,FAIBLE
507,289,1,2022-11-24,ACTIF,ELEVE
508,289,5,2022-11-22,ACTIF,ELEVE
509,290,2,2022-06-25,ACTIF,MOYEN
510,290,5,2022-12-22,ACTIF,ELEVE
511,291,2,2022-05-07,ACTIF,MOYEN
512,291,5,2022-08-30,ACTIF,ELEVE
513,293,4,2022-12-02,ACTIF,FAIBLE
514,294,2,2022-04-23,ACTIF,FAIBLE
515,294,4,2022-05-16,ACTIF,FAIBLE
516,295,1,2022-10-26,ACTIF,MOYEN
517,295,2,2022-04-21,ACTIF,FAIBLE
518,295,4,2022-12-31,ACTIF,MOYEN
519,295,5,2022-05-17,ACTIF,MOYEN
520,296,5,2022-02-12,ACTIF,FAIBLE
521,297,1,2022-06-02,ACTIF,MOYEN
522,297,2,2022-11-25,ACTIF,MOYEN
523,297,5,2022-07-11,ACTIF,ELEVE
524,298,3,2022-02-05,ACTIF,MOYEN
525,298,4,2022-04-25,RESILIE,MOYEN
526,298,5,2022-07-19,ACTIF,ELEVE
527,299,2,2022-04-07,ACTIF,FAIBLE
528,299,5,2022-12-07,ACTIF,FAIBLE
529,300,4,2022-08-28,ACTIF,ELEVE
530,301,1,2022-04-02,ACTIF,ELEVE
531,301,5,2022-08-18,ACTIF,ELEVE
532,302,1,2022-01-18,ACTIF,MOYEN
533,302,2,2022-07-09,ACTIF,ELEVE
534,302,3,2022-08-12,ACTIF,FAIBLE
535,303,4,2022-05-06,ACTIF,FAIBLE
536,304,2,2022-11-19,ACTIF,FAIBLE
537,304,4,2022-10-09,ACTIF,FAIBLE
538,305,2,2022-12-20,ACTIF,FAIBLE
539,305,5,2022-04-20,ACTIF,FAIBLE
540,307,2,2022-09-09,ACTIF,FAIBLE
541,307,3,2022-07-09,ACTIF,ELEVE
542,307,4,2022-05-02,ACTIF,ELEVE
543,307,5,2022-11-25,ACTIF,FAIBLE
544,309,2,2022-05-17,ACTIF,ELEVE
545,310,2,2022-07-28,ACTIF,ELEVE
546,310,3,2022-07-07,ACTIF,FAIBLE
547,310,4,2022-04-14,ACTIF,MOYEN
548,310,5,2022-10-29,ACTIF,FAIBLE
549,311,4,2022-09-05,ACTIF,FAIBLE
